R,T
0.000000,-0.285714
0.028013,-0.285121
0.056157,-0.283339
0.084563,-0.280358
0.113359,-0.276164
0.142670,-0.270737
0.172616,-0.264060
0.203309,-0.256115
0.234847,-0.246894
0.267313,-0.236403
0.300763,-0.224666
0.335223,-0.211737
0.370685,-0.197705
0.407093,-0.182702
0.444350,-0.166903
0.482313,-0.150528
0.520803,-0.133836
0.559613,-0.117115
0.598528,-0.100663
0.637340,-0.084778
0.675864,-0.069734
0.713952,-0.055778
0.751503,-0.043115
0.788462,-0.031907
0.824823,-0.022276
0.860622,-0.014312
0.895931,-0.008072
0.930848,-0.003593
0.965494,-0.000899
1.000000,0.000000
