R,T
0.000000,-0.857143
0.001709,-0.857123
0.003430,-0.857062
0.005174,-0.856959
0.006954,-0.856811
0.008784,-0.856614
0.010677,-0.856363
0.012653,-0.856049
0.014730,-0.855665
0.016932,-0.855196
0.019289,-0.854627
0.021836,-0.853933
0.024620,-0.853087
0.027697,-0.852045
0.031148,-0.850752
0.035079,-0.849124
0.039640,-0.847043
0.045050,-0.844326
0.051647,-0.840683
0.059972,-0.835631
0.070972,-0.828302
0.086450,-0.816995
0.110336,-0.797922
0.152953,-0.760952
0.249553,-0.671113
0.515528,-0.413433
0.801966,-0.137477
0.911396,-0.041796
0.963466,-0.008660
1.000000,0.000000
