R,T
0.000000,-0.428571
0.021106,-0.428014
0.042378,-0.426331
0.063986,-0.423492
0.086107,-0.419443
0.108926,-0.414110
0.132643,-0.407395
0.157469,-0.399178
0.183631,-0.389318
0.211370,-0.377656
0.240933,-0.364022
0.272560,-0.348250
0.306467,-0.330198
0.342814,-0.309781
0.381660,-0.287013
0.422923,-0.262053
0.466336,-0.235251
0.511430,-0.207160
0.557564,-0.178515
0.603992,-0.150162
0.649977,-0.122950
0.694890,-0.097631
0.738288,-0.074786
0.779941,-0.054801
0.819815,-0.037889
0.858034,-0.024125
0.894833,-0.013505
0.930522,-0.005978
0.965453,-0.001491
1.000000,0.000000
