R,T
0.000000,0.571429
0.013425,0.571074
0.026975,0.570000
0.040776,0.568179
0.054967,0.565560
0.069699,0.562069
0.085145,0.557606
0.101504,0.552035
0.119013,0.545179
0.137959,0.536812
0.158690,0.526642
0.181634,0.514296
0.207316,0.499307
0.236369,0.481101
0.269537,0.458996
0.307635,0.432243
0.351433,0.400146
0.401415,0.362301
0.457403,0.318979
0.518162,0.271517
0.581324,0.222405
0.643913,0.174759
0.703286,0.131390
0.757849,0.094088
0.807175,0.063524
0.851675,0.039577
0.892199,0.021757
0.929754,0.009504
0.965358,0.002351
1.000000,0.000000
