R,T
0.000000,0.750000
0.005057,0.749903
0.010154,0.749610
0.015333,0.749112
0.020639,0.748395
0.026122,0.747439
0.031838,0.746214
0.037851,0.744680
0.044242,0.742786
0.051106,0.740460
0.058566,0.737609
0.066778,0.734103
0.075950,0.729767
0.086363,0.724353
0.098413,0.717507
0.112666,0.708705
0.129972,0.697149
0.151652,0.681580
0.179845,0.659933
0.218142,0.628704
0.272637,0.581911
0.352709,0.510313
0.466560,0.405886
0.602483,0.280567
0.724780,0.170356
0.814774,0.094344
0.878446,0.047121
0.926040,0.019256
0.964919,0.004583
1.000000,0.000000
