R,T
0.000000,-0.142857
0.032783,-0.142472
0.065611,-0.141320
0.098529,-0.139409
0.131577,-0.136751
0.164794,-0.133367
0.198210,-0.129283
0.231852,-0.124532
0.265737,-0.119156
0.299874,-0.113204
0.334264,-0.106737
0.368898,-0.099821
0.403759,-0.092535
0.438819,-0.084963
0.474047,-0.077198
0.509402,-0.069337
0.544843,-0.061482
0.580326,-0.053734
0.615809,-0.046197
0.651253,-0.038968
0.686624,-0.032140
0.721896,-0.025799
0.757050,-0.020024
0.792076,-0.014883
0.826972,-0.010435
0.861746,-0.006730
0.896413,-0.003808
0.930993,-0.001700
0.965512,-0.000426
1.000000,0.000000
